1986,3003621
1987,3048651
1988,3114761
1989,3196725
1990,3292111
1991,3373787
1992,3468802
1993,3567772
1994,3676075
1995,3777390
1996,3874317
1997,3948583
1998,3983113
1999,4011375
2000,4039230
2001,4076881
2002,4100161
2003,4123937
2004,4155017
2005,4195764
2006,4241691
2007,4290988
2008,4349412
2009,4410679
2010,4465924
2011,4499139
2012,4542578
2013,4582607
2014,4638415
2015,4683139
